Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Bruce Brown Jr.,SG,DET,@ LAC,18th,105.75,4600,7,47.1,22.3,3.6,0.83,29.76,12.13,11.45,9.94,16.0,7.2,26.9,29.50,24.22,24.22,100,,49,5.3,,30,29.40,6.4
Justise Winslow,SF,MIA,vs TOR,24th,109.50,4500,0,22.7,28.4,4.3,0.84,30.31,8.51,11.35,0,19.4,12.7,33.7,0.00,0.00,0.00,100,,60,0,,,,
Derrick Jones Jr.,SF,MIA,vs TOR,24th,109.50,4500,9.4,39.7,19.4,1.1,0.80,28.61,9.03,8.65,7.02,14.4,5.9,24.4,28.00,22.41,22.41,100,,55,5,,28,24.20,5.4
Coby White,PG,CHI,vs UTA,25th,102.75,4500,4.3,38.3,20.4,2.3,0.85,30.46,11.39,9.72,7.36,23.5,11.4,24.1,23.25,18.90,18.90,100,,52,4.2,,24,19.80,4.4
Otto Porter,SF,CHI,vs UTA,6th,102.75,4500,0,16.4,20.9,1.6,0.84,30.11,21.50,8.20,0,18.9,9.3,25.0,0.00,0.00,0.00,100,,61,0,,,,
Mike Conley,PG,UTA,@ CHI,1st,105.75,4500,0,19,25.3,4.6,0.86,31.07,10.31,9.52,0,23.6,12.3,29.4,0.00,0.00,0.00,100,,62,0,,,,
Jae Crowder,SF,MEM,@ SAC,27th,110.25,4500,9.2,39.5,24.1,2.8,0.78,28.02,9.14,8.66,7.11,15.6,9.3,30.9,28.00,22.19,22.19,100,,64,4.9,Y,31,32.80,7.3
Markieff Morris,SF,DET,@ LAC,12th,105.75,4500,0,15.8,18.7,1.7,0.83,29.98,12.78,7.88,0,21.3,8.5,22.5,0.00,0.00,0.00,100,,58,0,,,,
Terence Davis,SG,TOR,@ MIA,7th,104.50,4400,5.2,35.8,15.1,1.9,0.86,31.18,12.33,8.74,7.45,15.6,5.5,17.5,21.75,18.35,18.35,100,,42,4.2,,13,7.90,1.8
Kendrick Nunn,PG,MIA,vs TOR,8th,109.50,4400,11.8,43.4,26.2,3.5,0.85,30.77,7.84,9.03,6.48,23.9,14.2,30.7,29.75,25.33,25.33,100,,66,5.8,Y,38,28.30,6.4
Derrick White,PG,SAS,vs OKC,17th,109.50,4400,6.5,34.3,20.0,3.2,0.84,30.19,10.67,7.95,6.59,16.7,7.4,23.8,22.25,18.40,18.40,100,,60,4.2,,26,27.90,6.3
Rudy Gay,SF,SAS,vs OKC,11th,109.50,4400,6.9,36.3,22.5,1.9,0.99,35.74,11.87,8.41,6.68,20.8,8.7,22.7,20.25,19.52,19.52,100,,63,4.4,,21,20.10,4.6
Harrison Barnes,SF,SAC,vs MEM,26th,114.25,4400,11.4,42.4,25.8,2.2,0.74,26.56,7.30,8.85,6.54,18.6,11.8,35.0,32.25,24.65,24.65,100,,66,5.6,Y,36,23.70,5.4
Ivica Zubac,C,LAC,vs DET,14th,117.75,4400,11.5,40.8,20.4,0.9,1.17,42.17,13.87,8.37,7.99,18.5,5.6,17.4,20.75,24.10,24.10,100,,59,5.5,Y,18,26.50,6
Larry Nance Jr.,PF,CLE,vs CHA,16th,107.00,4300,3,34.2,21.8,1.5,0.89,32.01,11.41,8.91,6.02,13.9,6.5,24.5,19.00,16.33,16.33,100,,59,3.8,,19,13.40,3.1
