Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Terry McLaurin,6,,WR,6500,WAS,@ARI,20.3,ARI by 7,18%,6%,3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.5,1.0,8.7,14,8.6,8.6,8.6,8.6,8.6,11.6,1.8,22.0,3.4
Marvin Jones,2,,WR,6400,DET,@GB,21.5,GB by 6.5,1%,11%,-6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,7.8,1.0,6.9,12,7.5,7.5,7.5,7.5,7.5,11.3,1.8,10.3,1.6
John Brown,3,,WR,6400,BUF,@MIA,23.5,BUF by 6,6%,17%,16%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,10.0,10.0,7.5,3.0,7.0,12,16.0,16.0,16.0,16.0,16.0,10.0,1.6,16.2,2.5
T.Y. Hilton,4,,WR,6300,IND,MIN,25.8,IND by 3,3%,0%,18%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,7.8,1.0,5.9,13,7.3,7.3,7.3,7.3,7.3,11.6,1.8,4.3,0.7
Zach Ertz,5,,TE,6300,PHI,LAR,22.3,LAR by 1,-2%,0%,1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.1,1.0,2.6,13,9.3,9.3,9.3,9.3,9.3,10.4,1.7,6.7,1.1
Mark Ingram,0,,RB,6200,BAL,@HOU,29.0,BAL by 7,10%,8%,15%,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.6,2.0,2.9,0.0,0.0,1.7,0.0,0.0,19,2.9,2.9,2.9,2.9,2.9,10.4,1.7,14.7,2.4
Marquise Brown,7,,WR,6200,BAL,@HOU,29.0,BAL by 7,10%,8%,5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,6.0,6.0,6.4,0.0,16.8,10,12.6,12.6,12.6,12.6,12.6,12.0,1.9,6.7,1.1
Nick Foles,,,QB,6200,CHI,NYG,23.8,CHI by 5.5,8%,3%,16%,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0
William Fuller,6,,WR,6100,HOU,BAL,22.0,BAL by 7,-11%,-12%,-5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,10.0,10.0,7.3,0.0,11.2,13,15.2,15.2,15.2,15.2,15.2,11.3,1.9,0.0,0.0
Justin Herbert,,,QB,6100,LAC,KC,19.3,KC by 9,-8%,15%,-5%,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,23.2,3.8
Le'Veon Bell,,O,RB,6100,NYJ,SF,17.5,SF by 7,-26%,3%,-28%,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,2.3,2.0,2.0,0.0,0.0,16.0,0,5.6,5.6,5.6,5.6,5.6,0.0,0.0,0.0,0.0
