"C","C","W","W","D","D","UTIL","UTIL","G","","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","54733-42839:Chandler Stephenson","54733-42839","C","Chandler","Chandler Stephenson","Stephenson","10.023077157827524","13","4500","COL@VGK","VGK","COL","","","","",""
"","","","","","","","","","","54733-8466:Ryan Suter","54733-8466","D","Ryan","Ryan Suter","Suter","9.063636086203836","11","4400","MIN@LA","MIN","LA","","","","",""
"","","","","","","","","","","54733-58686:Kasperi Kapanen","54733-58686","W","Kasperi","Kasperi Kapanen","Kapanen","8.95999984741211","10","4400","WSH@PIT","PIT","WSH","","","","",""
"","","","","","","","","","","54733-70118:Miles Wood","54733-70118","W","Miles","Miles Wood","Wood","13.833333333333334","9","4400","NJ@NYR","NJ","NYR","","","","",""
"","","","","","","","","","","54733-58985:Jakub Vrana","54733-58985","W","Jakub","Jakub Vrana","Vrana","10.75","12","4400","WSH@PIT","WSH","PIT","","","","",""
"","","","","","","","","","","54733-9990:Lars Eller","54733-9990","C","Lars","Lars Eller","Eller","6.777777777777778","9","4400","WSH@PIT","WSH","PIT","","","","",""
"","","","","","","","","","","54733-15287:Jean-Gabriel Pageau","54733-15287","C","Jean-Gabriel","Jean-Gabriel Pageau","Pageau","11.049999782017299","14","4400","NYI@BUF","NYI","BUF","","","","",""
"","","","","","","","","","","54733-12220:Marcus Johansson","54733-12220","W","Marcus","Marcus Johansson","Johansson","6.0444446139865455","9","4400","MIN@LA","MIN","LA","","","","",""
"","","","","","","","","","","54733-42993:Rasmus Ristolainen","54733-42993","D","Rasmus","Rasmus Ristolainen","Ristolainen","11.080000305175782","10","4400","NYI@BUF","BUF","NYI","O","Covid-19","","",""
"","","","","","","","","","","54733-43152:Damon Severson","54733-43152","D","Damon","Damon Severson","Severson","10.399999830457899","9","4300","NJ@NYR","NJ","NYR","","","","",""
"","","","","","","","","","","54733-8495:Josh Bailey","54733-8495","W","Josh","Josh Bailey","Bailey","7.25","14","4300","NYI@BUF","NYI","BUF","","","","",""
